,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
57,169662,665461,Entire home/apt,,Praha 2,67,4.5,4.0,1.0,1.0,52.0,2.0,50.070785,14.436315,2016-03-21 18:38:14.620322
58,170491,400864,Private room,,Praha 1,106,4.5,2.0,1.0,1.0,79.0,2.0,50.087689,14.416561,2016-03-21 14:57:58.374555
59,173114,826315,Entire home/apt,,Praha 1,155,4.5,4.0,1.0,,88.0,2.0,50.092314,14.421408,2016-03-21 18:57:24.283812
60,173430,828111,Private room,,Praha 5,6,5.0,2.0,1.0,1.0,50.0,1.0,50.067615,14.364535,2016-03-21 18:49:02.605671
61,174010,831073,Private room,,Praha 8,21,5.0,3.0,1.0,1.0,30.0,2.0,50.114546,14.472563,2016-03-21 17:45:30.849261
62,176383,843497,Private room,,Praha 10,28,5.0,,1.0,1.0,52.0,1.0,50.056293,14.480424,2016-03-21 17:09:34.877457
63,176393,843542,Private room,,Praha 2,1,5.0,2.0,1.0,1.0,22.0,1.0,50.073977,14.440106,2016-03-21 15:52:51.600674
64,184297,884061,Entire home/apt,,Praha 4,25,4.5,5.0,1.0,1.0,33.0,3.0,50.046923,14.476182,2016-03-21 16:02:24.734004
65,186750,783726,Entire home/apt,,Praha 3,208,5.0,4.0,1.0,1.0,43.0,,50.084836,14.453176,2016-03-21 14:09:42.748925
66,190423,955586,Entire home/apt,,Praha 5,11,4.5,,2.0,1.0,138.0,3.0,50.079337,14.4035,2016-03-21 19:10:40.065854
67,191474,333807,Entire home/apt,,Praha 1,21,4.5,5.0,1.0,1.0,105.0,2.0,50.090473,14.429013,2016-03-21 14:28:03.167383
68,191547,333807,Entire home/apt,,Praha 1,25,5.0,,2.0,2.0,115.0,2.0,50.09096,14.429579,2016-03-21 15:33:26.696735
69,191554,333807,Entire home/apt,,Praha 1,25,4.5,2.0,1.0,1.0,53.0,2.0,50.091514,14.427531,2016-03-21 18:27:58.561765
70,196168,954771,Entire home/apt,,Praha 5,6,4.5,4.0,1.0,1.0,57.0,2.0,50.069606,14.375865,2016-03-21 15:21:41.719070
71,199494,974253,Entire home/apt,,Praha 2,233,5.0,5.0,1.0,1.0,85.0,1.0,50.078394,14.437218,2016-03-21 16:35:37.165885
72,200092,955586,Entire home/apt,,Praha 1,6,4.5,3.0,1.0,1.0,70.0,3.0,50.091465,14.425471,2016-03-21 14:10:30.560647
73,201908,955586,Entire home/apt,,Praha 5,10,4.5,2.0,1.0,1.0,71.0,3.0,50.079822,14.403996,2016-03-21 18:20:43.876368
74,202545,955586,Entire home/apt,,Praha 5,25,4.5,,2.0,1.0,142.0,3.0,50.079249,14.403959,2016-03-21 15:40:40.801226
75,202584,955586,Entire home/apt,,Praha 1,4,4.0,5.0,1.0,1.0,89.0,3.0,50.087963,14.395372,2016-03-21 17:53:36.244916
76,204269,606694,Entire home/apt,,Praha 1,184,5.0,2.0,1.0,1.0,60.0,2.0,50.079654,14.421797,2016-03-21 18:05:40.184498
77,207149,4199867,Entire home/apt,,Praha 1,64,4.5,4.0,2.0,,120.0,3.0,50.087935,14.406397,2016-03-21 16:34:41.024163
78,209666,1033345,Entire home/apt,,Praha 7,60,5.0,4.0,2.0,1.0,110.0,3.0,50.100677,14.429161,2016-03-21 17:38:27.681412
79,209669,383698,Entire home/apt,,Praha 1,16,4.0,,3.0,1.0,196.0,,50.080788,14.423147,2016-03-21 14:59:55.872084
80,211469,1090842,Entire home/apt,,Praha 3,82,5.0,4.0,1.0,1.0,68.0,2.0,50.079267,14.454314,2016-03-21 19:11:02.759784
81,211642,955586,Entire home/apt,,Praha 1,22,4.5,5.0,1.0,1.0,92.0,3.0,50.093023,14.431495,2016-03-21 14:18:51.871721
82,211651,955586,Entire home/apt,,Praha 1,25,4.5,,2.0,1.0,115.0,3.0,50.091905,14.432956,2016-03-21 15:37:50.556152
83,212611,955586,Entire home/apt,,Praha 1,83,4.5,,2.0,1.0,92.0,3.0,50.088395,14.431964,2016-03-21 19:01:37.921535
84,215576,955586,Entire home/apt,,Praha 5,8,4.5,2.0,1.0,1.0,68.0,3.0,50.079518,14.405489,2016-03-21 17:37:21.695262
85,215583,955586,Entire home/apt,,Praha 5,21,5.0,,2.0,1.0,138.0,3.0,50.08022,14.403949,2016-03-21 16:37:40.456150
86,215586,955586,Entire home/apt,,Praha 5,4,4.5,,3.0,1.0,173.0,3.0,50.078905,14.404186,2016-03-21 15:01:19.526756
87,220050,952134,Entire home/apt,,Praha 5,111,4.5,4.0,1.0,1.0,49.0,1.0,50.069575,14.408109,2016-03-21 18:25:19.840450
88,220569,870664,Private room,,Praha 1,31,4.0,5.0,1.0,,80.0,1.0,50.093179,14.433645,2016-03-21 17:34:36.265053
89,222299,870664,Entire home/apt,,Praha 2,87,4.0,4.0,1.0,1.0,44.0,1.0,50.075086,14.43097,2016-03-21 16:31:04.625391
90,224386,383698,Entire home/apt,,Praha 1,44,4.5,,3.0,2.0,231.0,,50.091322,14.4207,2016-03-21 19:03:14.054103
91,224457,1167278,Entire home/apt,,Praha 1,190,4.5,,2.0,1.0,29.0,2.0,50.086941,14.408764,2016-03-21 14:34:00.229846
92,224929,1171182,Entire home/apt,,Praha 10,32,4.5,4.0,1.0,1.0,34.0,1.0,50.070771,14.449824,2016-03-21 14:19:08.146406
93,226599,1171182,Private room,,Praha 10,20,5.0,2.0,1.0,1.0,45.0,1.0,50.07167,14.448738,2016-03-21 15:54:51.143462
94,226662,1171182,Private room,,Praha 10,31,4.5,1.0,1.0,1.0,22.0,1.0,50.071047,14.448289,2016-03-21 16:04:58.403064
95,227596,1171182,Entire home/apt,,Praha 10,10,5.0,3.0,1.0,1.0,34.0,1.0,50.071118,14.449624,2016-03-21 15:23:23.969708
96,228060,1171182,Private room,,Praha 10,53,4.5,2.0,1.0,1.0,34.0,2.0,50.071239,14.44853,2016-03-21 16:52:55.576121
97,232953,1109528,Entire home/apt,,Praha 2,259,5.0,2.0,1.0,1.0,66.0,1.0,50.075799,14.4307,2016-03-21 14:24:51.899996
98,237919,831073,Private room,,Praha 8,2,5.0,3.0,1.0,1.0,46.0,3.0,50.113981,14.474786,2016-03-21 18:15:52.083205
99,247267,113902,Entire home/apt,,Praha 1,170,5.0,3.0,1.0,1.0,53.0,,50.086552,14.433282,2016-03-21 16:41:04.358765
100,254484,1336827,Entire home/apt,,Praha 1,186,5.0,2.0,1.0,1.0,74.0,1.0,50.08519,14.404875,2016-03-21 14:37:54.136293
101,263357,1381526,Entire home/apt,,Praha 2,92,5.0,4.0,1.0,1.0,49.0,1.0,50.077755,14.444928,2016-03-21 18:00:04.563335
102,268847,1224266,Entire home/apt,,Praha 10,99,4.5,3.0,1.0,0.0,45.0,2.0,50.064516,14.454367,2016-03-21 14:41:34.228878
103,274532,665461,Entire home/apt,,Praha 2,51,4.5,2.0,1.0,1.0,46.0,2.0,50.072713,14.436015,2016-03-21 15:35:58.663474
104,278365,227945,Entire home/apt,,Praha 3,82,4.5,2.0,1.0,1.0,27.0,,50.08642,14.441955,2016-03-21 18:53:19.759717
105,278524,383698,Entire home/apt,,Praha 1,39,4.5,,4.0,2.0,196.0,,50.081273,14.420255,2016-03-21 16:43:38.363193
106,278580,383698,Entire home/apt,,Praha 1,7,3.0,,1.0,1.0,103.0,,50.080733,14.419359,2016-03-21 17:59:59.839798
107,279365,665461,Entire home/apt,,Praha 2,30,4.5,2.0,1.0,1.0,46.0,2.0,50.071904,14.434557,2016-03-21 16:01:03.886538
108,279380,665461,Entire home/apt,,Praha 2,31,5.0,2.0,1.0,1.0,55.0,2.0,50.071052,14.434513,2016-03-21 14:19:24.654370
109,279773,843497,Entire home/apt,,Praha 1,161,4.5,4.0,1.0,1.0,80.0,1.0,50.088391,14.419728,2016-03-21 14:40:37.291114
110,291168,227945,Entire home/apt,,Praha 1,119,4.5,,1.0,1.0,46.0,,50.089625,14.426435,2016-03-21 14:53:44.224644
111,293727,826315,Entire home/apt,,Praha 7,85,4.5,,2.0,,72.0,1.0,50.099836,14.426336,2016-03-21 17:39:42.342113
112,295440,804140,Entire home/apt,,Praha 3,24,4.0,3.0,1.0,,43.0,2.0,50.084702,14.453379,2016-03-21 16:09:26.915228
113,300620,1548689,Entire home/apt,,Praha 17,9,5.0,4.0,2.0,1.0,89.0,2.0,50.070166,14.318012,2016-03-21 16:50:09.528255
114,300648,1548809,Entire home/apt,,Praha 4,59,5.0,3.0,1.0,1.0,58.0,1.0,50.05911,14.446229,2016-03-21 15:36:13.032990
115,304027,1564885,Shared room,,Praha 2,104,4.5,,1.0,8.0,19.0,1.0,50.076597,14.42231,2016-03-21 16:11:34.476837
116,313005,1609845,Private room,,Praha 1,1,5.0,3.0,1.0,1.0,58.0,2.0,50.087159,14.398952,2016-03-21 15:54:59.632713
117,313091,1609845,Entire home/apt,,Praha 1,10,5.0,3.0,1.0,1.0,58.0,2.0,50.087986,14.400707,2016-03-21 17:21:07.447091
118,313967,1613027,Entire home/apt,,Praha 2,34,5.0,5.0,1.0,,70.0,3.0,50.07495,14.414178,2016-03-21 14:26:24.520015
119,318204,1629431,Entire home/apt,,Praha 2,44,4.5,4.0,1.0,1.0,44.0,2.0,50.072572,14.431781,2016-03-21 17:13:50.171911
120,320262,1629431,Entire home/apt,,Praha 2,90,4.5,4.0,1.0,1.0,44.0,2.0,50.073451,14.431519,2016-03-21 15:55:12.412381
121,321289,1629431,Entire home/apt,,Praha 3,55,4.0,4.0,0.0,1.0,36.0,2.0,50.084509,14.450313,2016-03-21 18:48:15.428945
