"url","Title link","Title link_link","Locality value","Normprice value","Labelbinding values"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+1 51 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-vrsovice-k-louzi/1946407260","K Louži, Praha 10 - Vršovice","3 490 000 Kč","Po rekonstrukci; Parkování"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 60 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-svitakova/608227676","Svitákova, Praha 5 - Stodůlky","3 990 898 Kč","Lodžie; Parkování; Garáž"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 54 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-svitakova/4091732316","Svitákova, Praha 5 - Stodůlky","4 382 849 Kč","Parkování; Garáž; Metro 3 min. pěšky; Obchod 3 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 71 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-werichova/650039644","Werichova, Praha 5 - Hlubočepy","4 545 934 Kč","Terasa"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 77 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dubec-za-lazenkou/3451834716","Za Lázeňkou, Praha - Dubeč","4 762 500 Kč","Terasa"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 54 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-werichova/85774684","Werichova, Praha 5 - Hlubočepy","3 996 263 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 55 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dubec-za-lazenkou/3988705628","Za Lázeňkou, Praha - Dubeč","3 263 276 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 67 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-devonska/1609290076","Devonská, Praha 5 - Hlubočepy","4 490 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 62 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-v-holesovickach/2003431772","V Holešovičkách, Praha - Libeň","2 600 000 Kč","Družstevní; Po rekonstrukci; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 70 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-ciklova/1804652892","Čiklova, Praha - Nusle","4 800 000 Kč","Po rekonstrukci"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 49 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-praha-10-/3633369436","Praha 10","3 630 000 Kč","Terasa; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 4+kk 100 m²","https://www.sreality.cz/detail/prodej/byt/4+kk/praha-cimice-vankova/2576404828","Vánková, Praha 8 - Čimice","3 800 000 Kč","Družstevní; Lodžie; Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 2+kk 47 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-pitterova/210817372","Pitterova, Praha 3 - Žižkov","4 500 000 Kč","Lodžie; Parkování; Vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=3","Prodej bytu 3+kk 57 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zabehlice-skabova/3152990556","Škábova, Praha 10 - Záběhlice","3 200 000 Kč","Lodžie; Panelová"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 3+1 117 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-mala-strana-mostecka/4098707548","Mostecká, Praha - Malá Strana","Info o ceně u RK","Po rekonstrukci; Bus 3 min. pěšky; Obchod 4 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+1 52 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-vinohrady-sarajevska/1820320092","Sarajevská, Praha 2 - Vinohrady","4 050 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=4","Prodej bytu 2+kk 55 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-zitomirska/2167329116","Žitomírská, Praha 10 - Vršovice","3 800 000 Kč",""
